market_cap_rank,corp_name,market_cap
550,넥써쓰,1303.0
551,고스트스튜디오,1302.0
552,솔본,1298.0
553,제이오,1292.0
554,나무기술,1291.0
555,켄코아에어로스페이스,1288.0
556,플리토,1287.0
557,윈스테크넷,1275.0
558,메쎄이상,1273.0
559,큐알티,1272.0
560,제룡산업,1270.0
561,메쥬,1269.0
562,노머스,1268.0
563,일승,1263.0
564,슈프리마에이치큐,1262.0
565,모트렉스,1261.0
566,디에스케이,1260.0
567,코맥스,1257.0
568,퓨릿,1248.0
569,제노코,1240.0
570,나우IB,1238.0
571,어보브반도체,1236.0
572,비씨엔씨,1232.0
573,리센스메디컬,1232.0
574,쇼박스,1232.0
575,마크로젠,1230.0
576,성우,1228.0
577,팜스토리,1227.0
578,케이엔알시스템,1225.0
579,엘케이켐,1221.0
580,티움바이오,1217.0
581,아바텍,1210.0
582,HB솔루션,1207.0
583,컨텍,1203.0
584,윤성에프앤씨,1200.0
585,CMG제약,1200.0
586,풍원정밀,1199.0
587,나라스페이스테크놀로지,1198.0
588,성도이엔지,1197.0
589,그리드위즈,1196.0
590,지씨지놈,1194.0
591,링크솔루션,1191.0
592,씨앤지하이테크,1188.0
593,아크릴,1187.0
594,KT나스미디어,1186.0
595,엠디바이스,1184.0
596,에코앤드림,1179.0
597,KCC건설,1173.0
598,킵스파마,1171.0
599,SKAI,1170.0
600,에이치엘지노믹스,1164.0
601,씨피시스템,1162.0
602,플래스크,1161.0
603,도이치모터스,1158.0
604,노바텍,1155.0
605,지어소프트,1154.0
606,푸드나무,1151.0
607,KX,1147.0
608,유아이엘,1147.0
609,그린리소스,1147.0
610,하이텍팜,1143.0
611,라이콤,1142.0
612,JW신약,1132.0
613,알에스오토메이션,1131.0
614,지니언스,1129.0
615,국전,1123.0
616,이노테크,1122.0
617,AP위성,1121.0
618,유니트론텍,1121.0
619,케이에스피,1119.0
620,코칩,1119.0
621,엠플러스,1116.0
622,제넥신,1116.0
623,동구바이오제약,1106.0
624,티앤알바이오팹,1106.0
625,NH농우바이오,1104.0
626,현대에버다임,1101.0
627,나인테크,1099.0
628,넵튠,1096.0
629,모다이노칩,1089.0
630,동방메디컬,1089.0
631,퀄리타스반도체,1088.0
632,진로발효,1086.0
633,코윈테크,1084.0
634,와이엔텍,1083.0
635,SV인베스트먼트,1082.0
636,바이젠셀,1080.0
637,라온로보틱스,1079.0
638,상상인,1079.0
639,이엘씨,1077.0
640,세경하이테크,1077.0
641,피아이이,1074.0
642,새로닉스,1073.0
643,파워로직스,1073.0
644,중앙첨단소재,1071.0
645,엠에스씨,1070.0
646,톱텍,1068.0
647,뷰노,1068.0
648,대정화금,1066.0
649,케이엔솔,1059.0
650,셀레믹스,1058.0
651,씨에스베어링,1058.0
652,한일사료,1054.0
653,그래디언트,1054.0
654,삼보모터스,1054.0
655,루미르,1049.0
656,케이알엠,1049.0
657,우리손에프앤지,1048.0
658,에프엔에스테크,1042.0
659,인포바인,1040.0
660,한국경제TV,1040.0
661,메타바이오메드,1039.0
662,엑셈,1039.0
663,NICE인프라,1036.0
664,한울소재과학,1033.0
665,켐트로스,1033.0
666,라온텍,1023.0
667,오늘이엔엠,1023.0
668,아진엑스텍,1022.0
669,에이티넘인베스트,1020.0
670,다산네트웍스,1016.0
671,세운메디칼,1014.0
672,세명전기,1014.0
673,제이아이테크,1011.0
674,시지메드텍,1011.0
675,현대바이오랜드,1010.0
676,에스투더블유,1004.0
677,청담글로벌,1003.0
678,로체시스템즈,999.0
679,아스타,994.0
680,스모트로닉,994.0
681,아진산업,993.0
682,레이언스,992.0
683,나인앤컴퍼니,988.0
684,뉴로핏,986.0
685,원익,981.0
686,엠에스오토텍,980.0
687,코데즈컴바인,978.0
688,탑런토탈솔루션,977.0
689,씨씨에스,973.0
690,삼영엠텍,972.0
691,케이엔더블유,972.0
692,우림피티에스,971.0
693,YTN,970.0
694,핑거,967.0
695,다원시스,966.0
696,비아트론,964.0
697,나노,962.0
698,하나기술,961.0
699,코아스템켐온,956.0
700,옵투스제약,953.0
701,오스테오닉,957.0
702,엔에프씨,954.0
703,파워넷,953.0
704,에이럭스,951.0
705,아톤,950.0
706,LB인베스트먼트,950.0
707,스톰테크,949.0
708,매드업,948.0
709,케이씨에스,946.0
710,웨이비스,944.0
711,위드텍,943.0
712,메드팩토,937.0
713,야스,936.0
714,박셀바이오,935.0
715,아모그린텍,932.0
716,더네이쳐홀딩스,923.0
717,링네트,922.0
718,아미노로직스,921.0
719,중앙에너비스,920.0
720,빅텍,919.0
721,컴퍼니케이,915.0
722,엘앤케이바이오,912.0
723,풍국주정,911.0
724,이스트소프트,910.0
725,RF시스템즈,910.0
726,정상제이엘에스,908.0
727,디와이피엔에프,908.0
728,에스와이,905.0
729,데이타솔루션,904.0
730,금양그린파워,903.0
731,지오엘리먼트,902.0
732,피에스텍,901.0
733,동국S&C,900.0
734,서원인텍,898.0
735,세아메카닉스,898.0
736,씨이랩,898.0
737,로젠,895.0
738,젝시믹스,893.0
739,세미티에스,892.0
740,선진뷰티사이언스,891.0
741,동신건설,888.0
742,이지케어텍,886.0
743,한컴위드,885.0
744,오성첨단소재,883.0
745,폴레드,880.0
746,크레버스,879.0
747,위닉스,877.0
748,금강철강,876.0
749,한울반도체,875.0
750,나노팀,873.0
751,오상헬스케어,873.0
752,에이치피오,871.0
753,KT밀리의서재,869.0
754,미래컴퍼니,869.0
755,동아엘텍,864.0
756,와이제이링크,860.0
757,원익피앤이,860.0
758,창해에탄올,860.0
759,대봉엘에스,859.0
760,서울옥션,858.0
761,큐브엔터,858.0
762,일지테크,858.0
763,중앙백신,853.0
764,디앤씨미디어,853.0
765,워트,850.0
766,리메드,848.0
767,위더스제약,843.0
768,이니텍,842.0
769,에코플라스틱,842.0
770,나이스디앤비,841.0
771,웹케시,841.0
772,액스비스,840.0
773,셀루메드,840.0
774,라온시큐어,838.0
775,엔지켐생명과학,838.0
776,LS티라유텍,837.0
777,모비스,836.0
778,지니너스,823.0
779,광무,823.0
780,에이치엔에스하이텍,821.0
781,져스텍,821.0
782,한국파마,819.0
783,테라뷰,819.0
784,SBI인베스트먼트,818.0
785,엔알비,816.0
786,대동기어,815.0
787,아이큐어,815.0
788,KX하이텍,815.0
789,스톤브릿지벤처스,814.0
790,KT지니뮤직,814.0
791,아미코젠,813.0
792,아이에스티이,812.0
793,제일엠앤에스,811.0
794,오파스넷,810.0
795,지아이에스,810.0
796,한빛레이저,810.0
797,조이시티,809.0
798,초록뱀미디어,809.0
799,리드코프,807.0
800,한국컴퓨터,805.0
801,엠게임,805.0
802,예스24,802.0
803,쎄니트,802.0
804,대림제지,800.0
805,엑스페릭스,797.0
806,삼아제약,797.0
807,엑세스바이오,795.0
808,대한뉴팜,792.0
809,서한,788.0
810,에스트래픽,788.0
811,MDS테크,787.0
812,라파스,787.0
813,HRS,787.0
814,큐리오시스,786.0
815,블루콤,782.0
816,서산,782.0
817,키스트론,777.0
818,로보로보,775.0
819,모베이스,774.0
820,아이로보틱스,773.0
821,한국가구,771.0
822,디알텍,770.0
823,알서포트,770.0
824,피스피스스튜디오,768.0
825,APS,766.0
826,한성크린텍,765.0
827,동국생명과학,764.0
828,포커스에이아이,764.0
829,아비코전자,763.0
830,레메디,763.0
831,케이피에프,762.0
832,인트론바이오,761.0
833,테라사이언스,761.0
834,선바이오,761.0
835,화일약품,758.0
836,제닉스로보틱스,757.0
837,와이즈넛,756.0
838,디에스엠,756.0
839,에이엘티,755.0
840,컴투스홀딩스,754.0
841,지에프아이,751.0
842,테라젠이텍스,750.0
843,영화테크,750.0
844,이상네트웍스,748.0
845,뉴프렉스,746.0
846,지구홀딩스,744.0
847,양지사,743.0
848,옵트론텍,741.0
849,비엘팜텍,738.0
850,싸이닉솔루션,733.0
851,휴비츠,740.0
852,엠엑스온,739.0
853,로스웰,737.0
854,케이옥션,735.0
855,아이앤씨,735.0
856,아이씨디,735.0
857,삼현철강,734.0
858,삐아,732.0
859,우리넷,732.0
860,엔브이에이치코리아,731.0
861,한일단조,730.0
862,하이로닉,730.0
863,삼기에너지솔루션즈,729.0
864,액트로,728.0
865,에스와이스틸텍,726.0
866,레이,726.0
867,싸이토젠,726.0
868,디지틀조선,726.0
869,라이온켐텍,725.0
870,현대공업,723.0
871,정다운,722.0
872,세원물산,722.0
873,서남,722.0
874,TJ미디어,722.0
875,삼륭물산,722.0
876,엠오티,721.0
877,유니크,721.0
878,KNN,720.0
879,자이글,718.0
880,제이씨케미칼,715.0
881,드림씨아이에스,715.0
882,시공테크,714.0
883,새빗켐,714.0
884,태웅로직스,713.0
885,에스넷,711.0
886,디케이락,711.0
887,폴라리스AI파마,709.0
888,바이오스마트,705.0
889,씨티씨바이오,705.0
890,이엔셀,705.0
891,팅크웨어,702.0
892,에스피소프트,696.0
893,대성하이텍,696.0
894,피제이전자,696.0
895,아이디피,696.0
896,해성옵틱스,695.0
897,가온그룹,692.0
898,디에이테크놀로지,691.0
899,세종텔레콤,689.0
900,크리스에프앤씨,689.0
901,피엠티,690.0
902,강동씨앤엘,689.0
903,모델솔루션,687.0
904,케이엔에스,686.0
905,네오리진,685.0
906,HC보광산업,685.0
907,지아이텍,683.0
908,미투온,682.0
909,에이비온,682.0
910,탑머티리얼,682.0
911,다이나믹솔루션,682.0
912,동일금속,681.0
913,SY동아,680.0
914,레몬헬스케어,680.0
915,바이오에프디엔씨,677.0
916,기가레인,676.0
917,수젠텍,675.0
918,아이엠티,674.0
919,쿼드메디슨,674.0
920,예림당,674.0
921,페스카로,672.0
922,옵티팜,671.0
923,넥스트칩,671.0
924,원준,669.0
925,에이텍,668.0
926,피제이메탈,667.0
927,신신제약,667.0
928,포바이포,666.0
929,한국첨단소재,663.0
930,제이스로보틱스,663.0
931,제너셈,663.0
932,이엠텍,660.0
933,앤디포스,660.0
934,코아시아,659.0
935,이녹스,659.0
936,비트컴퓨터,656.0
937,대창솔루션,655.0
938,아이진,653.0
939,파로스아이바이오,651.0
940,흥국,650.0
941,엑스큐어,649.0
942,폴라리스AI,649.0
943,팬젠,647.0
944,티플랙스,647.0
945,센코,646.0
946,유라테크,643.0
947,아모센스,643.0
948,특수건설,642.0
949,프로티아,642.0
950,센서뷰,642.0
951,아로마티카,640.0
952,삼기,640.0
953,셀바스헬스케어,640.0
954,국순당,638.0
955,레뷰코퍼레이션,638.0
956,녹십자엠에스,637.0
957,FSN,637.0
958,드림어스컴퍼니,637.0
959,아리바이오랩,636.0
960,블랙야크아이앤씨,635.0
961,대륙제관,635.0
962,제이엔케이글로벌,633.0
963,신스틸,633.0
964,한국전자인증,633.0
965,유비벨록스,633.0
966,큐에스아이,631.0
967,지엘팜텍,631.0
968,잉크테크,629.0
969,푸드웰,628.0
970,위메이드플레이,628.0
971,다원넥스뷰,627.0
972,이화공영,626.0
973,고바이오랩,624.0
974,이오플로우,623.0
975,남화산업,623.0
976,신일제약,622.0
977,마음AI,621.0
978,원일티엔아이,619.0
979,유니테크노,611.0
980,티에스아이,610.0
981,APS이노베이션,609.0
982,아이티센엔텍,609.0
983,누리플렉스,609.0
984,대주산업,607.0
985,엔비알모션,607.0
986,알파칩스,606.0
987,비투엔,605.0
988,에이에스텍,603.0
989,SGC E&C,601.0
990,에스씨디,601.0
991,케이엘넷,600.0
992,아우토크립트,600.0
993,알체라,599.0
994,엔시스,594.0
995,CG인바이츠,592.0
996,피앤에스로보틱스,592.0
997,지에스이,590.0
998,코츠테크놀로지,590.0
999,참좋은여행,587.0
1000,블루엠텍,587.0
1001,트루엔,587.0
1002,서플러스글로벌,585.0
1003,인벤테라,583.0
1004,DGI,581.0
1005,오텍,581.0
1006,해성에어로보틱스,581.0
1007,대원미디어,580.0
1008,압타머사이언스,580.0
1009,원풍,579.0
1010,샌즈랩,579.0
1011,앱튼,578.0
1012,유티아이,578.0
1013,내츄럴엔도텍,576.0
1014,우리산업,576.0
1015,오리콤,576.0
1016,인크로스,575.0
1017,한패스,575.0
1018,엠엑스로보틱스,575.0
1019,케이피항공산업,574.0
1020,남화토건,573.0
1021,나노실리칸첨단소재,572.0
1022,디알젬,572.0
1023,이건홀딩스,571.0
1024,알에프텍,570.0
1025,스마트레이더시스템,569.0
1026,와이어블,568.0
1027,오픈베이스,564.0
1028,화성밸브,564.0
1029,브이원텍,564.0
1030,현대에이치티,562.0
1031,빛샘전자,562.0
1032,3S,562.0
1033,아고스,561.0
1034,셀바이오휴먼텍,561.0
1035,동우팜투테이블,561.0
1036,웨이브일렉트로,559.0
1037,SCL사이언스,559.0
1038,뉴엔AI,558.0
1039,부방,557.0
1040,수산아이앤티,556.0
1041,서울평가정보,556.0
